410 Frankford
1919 Fells Point
SAUTE Canton
#1 CHINESE KITCHEN Hampden
#1 chinese restaurant Millhill
19TH HOLE Clifton Park
3 KINGS McElderry Park
"3 MILES HOUSE, INC. Remington"
3 W'S TAVERN McElderry Park
300 SOUTH ANN STREET Upper Fells Point
438 CLUB Curtis Bay
5-MILE HOUSE Woodmere
"743 S. MONTFORD,INC. Canton"
A & W RESTAURANT Pulaski Industrial Area
A TASTE OF CHINA Downtown
ABACROMBIE FINE FOODS Mid-Town Belvedere
ABC SUSHI Middle East
ACROPOLIS RESTAURANT Greektown
ADMIRAL FELL INN Fells Point
AG & HARP'S Morrell Park
"AIRPORT BAR & GRILL, INC. Saint Helena"
AKBAR RESTAURANT Mount Vernon
"AKDEY SUBWAY, INC. Millhill"
ALDO'S   RESTAURANT Little Italy
ALE MARY'S Fells Point
ALEXANDER'S TAVERN Fells Point
ALFEO'S Mondawmin
AL-HO CLUB Booth-Boyd
BAY ATLANTIC CLUB Downtown
BAY CAFE Canton
BEACH  BUMS CAF Federal Hill
BECKER'S TAVERN Baltimore Highlands
BEDROCK Downtown
BEDROCK (KITCHEN AREA) Downtown
BELAIR PUB Glenham-Belford
BELT STREET PUB Riverside
BELVEDERE TOWERS CAF Roland Park
"BERGER'S TAVERN, INCORPORATED Waltherson"
BERMUDA BAR Broadway East
BERTHA'S RESTAURANT Fells Point
BERT'S EATS & DRINKS (3103-05) Charles Village
BEST WESTERN TRAVEL PLAZA Pulaski Industrial Area
BIG APPLE TREE CAF Downtown
BIG BAD WOLF'S HOUSE OF BARBEQUE Harford-Echodale/Perring Parkway
BIG KAHUNA CANTINA Inner Harbor
BIG TEE'S BAR & GRILL Greektown
BILL'S 60'S & 70'S CLUB Hollins Market
BILL'S CAFE Graceland Park
BILL'S LIGHTHOUSE INN Riverside
BILTMORE SUITES HOTEL Mount Vernon
BIRCHES RESTAURANT Canton
BIRDS OF A FEATHER Fells Point
"BLACKTIE SERVICE, LLP Seton Business Park"
BLACKTIE SERVICES Woodberry
BLARNEY STONE INN Brooklyn
BLARNEY STONE PUB Fells Point
BLEACHERS Canton
ALLEN RESTAURANT Waltherson
ALOHA TOKYO Locust Point Industrial Area
ALONSO'S RESTAURANT & COCKTAIL LOUNGE Evergreen
AMBASSADOR DINNING ROOM Tuscany-Canterbury
AMBROSIA'S Cherry Hill
AMERICAN FOOD SERVICE Hollins Market
AMERICAN LEGION FEDERAL POST #19 Madison Park
AMERICAN LEGION POST #187 Curtis Bay
AMERICAN LEIGON FORT MCHENRY POST #133 Riverside
AMIGO'S BAR Highlandtown
ANGELINA'S North Harford Road
ANGELO'S RESTAURANT & CARRYOUT Wyman Park
ANGELS ROCK BAR Downtown
ANGLE INN Pulaski Industrial Area
ANNABEL LEE TAVERN Canton
ANNS AT LEXINGTON PLACE Seton Hill
APPLEBEE'S NEIGHBORHOOD GRILL & BAR Fallstaff
aramark at citi bank baltimore Downtown
ARAMARK FHC SPORTS  (MAIN KITCHEN) Stadium Area
ARAMARK FHC SPORTS (BAR 200-201) Stadium Area
ARAMARK FHC SPORTS (BAR 210) Stadium Area
ARAMARK FHC SPORTS (BAR 217) Stadium Area
ARAMARK FHC SPORTS (BAR 221) Stadium Area
ARAMARK FHC SPORTS (BAR 232) Stadium Area
ARAMARK FHC SPORTS (BAR 236) Stadium Area
ARAMARK FHC SPORTS (BAR 244) Stadium Area
ARAMARK FHC SPORTS (BAR 252-253) Stadium Area
ARAMARK/PNC Downtown
ARA-MONUMENTAL LIFE INSURANCE COMPANY Mid-Town Belvedere
ARCH SOCIAL CLUB Penn North
ARCOS Washington Hill
ARIZONA BAR & GRILL Washington Hill
ASAHI SUSHI Fells Point
asian taste Hampden
ATWATER'S Chinquapin Park-Belvedere
AU BON PAIN Downtown
AUSTIN GRILL Canton
AUSTIN GRILL Canton
AVENUE BAR & LIQUOR Johnston Square
azteca de oro Greektown
B Bolton Hill
B & J RESTAURANT Carrollton Ridge
B & O CAFE New Southwest/Mount Clare
B G'S Carrollton Ridge
"B.G.'S,PUB INCORPORATED Greektown"
babalu grill Downtown
BACKSTRETCH SALOON Medfield
BAJA BEACH CLUB  (COMBINED WITH BAR-L) Downtown
BALTIMORE BEVERAGE CO. LLC Downtown
BALTIMORE BEVERAGE CO. -STARBUCKS Downtown
BALTIMORE COUNTRY CLUB Roland Park
BALTIMORE DELIGHT RESTAURANT Greektown
"BALTIMORE EAGLE, INC. Charles North"
BALTIMORE ESTONIAN SOCIETY South Clifton Park
BALTIMORE MARRIOTT WATERFRONT/EMPLOYEE CAFETERIA Inner Harbor
BALTIMORE MARRIOTT WATERFRONT/GRILLE 700 RESTAURAN Inner Harbor
BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR Inner Harbor
BALTIMORE MARRIOTT WATERFRONT/RIGANOS DELI Inner Harbor
BALTIMORE MARRIOTT-INNER HARBOR/EMP. CAFETERIA Inner Harbor
BALTIMORE MARRIOTT-INNER HARBOR/REST/BAR Inner Harbor
BALTIMORE PHO Hollins Market
BALTMORE KICKERS Washington Hill
BANJARA Federal Hill
BANTHAI Downtown
BARISTA ESPRESSO CAF Inner Harbor
BARNES & NOBLE BOOKSELLERS Inner Harbor
BARTENDERS Canton
BLU BAMBU-FRESH AISIAN EATS Inner Harbor
BLUE AGAVE RESTAURANT AND TEQUILERIA Federal Hill
BLUE CRAB EXPRESS & CAF INC. Cherry Hill
blue island malaysian cuisine Downtown
BLUE JEAN CAFE Broening Manor
BLUE MOON  DINING  HOUSE  & EXPRESSO  BAR Fells Point
BLUE PARROT Glenham-Belford
BLUE POINT CRAB HOUSE (seasonal) Patterson Place
BLUE SEA GRILL Downtown
BLUE SKY RESTAURANT Downtown
BLUEHOUSE Fells Point
BO BROOKS Canton
BOB CUMMINGS PLACE Baltimore-Linwood
BOB DELI Hopkins Bayview
BOB'S BAR Washington Village
BOB'S OLDIE'S CAF Brewers Hill
BOCCACCIO Little Italy
BOP BRICK OVEN PIZZA Fells Point
BOUILLABAISSE CAF Downtown
BOULDER GARDEN CAFE Loyola/Notre Dame
BRASS MONKEY SALOON Fells Point
BRASSERIE TATIN Tuscany-Canterbury
BREEZE INC. Hampden
"BRENDAL, INC. Riverside"
BREWER'S HILL PUB & GRILL Brewers Hill
BREWSTER'S TAVERN Upper Fells Point
BROADWAY DINER Pulaski Industrial Area
BROOKEY'S Belair-Edison
BROOKLYN BOOSTER CLUB Brooklyn
"BROOKLYN INN, LLC Brooklyn"
BROOKLYN PLEASURE CLUB Brooklyn
